Monthly Comparisons,January ,February ,March ,April ,May ,June ,July ,August ,September ,October,November ,December,Monthly Avg,%?_v_Prev,Yr. Tot. Est '14,,,,,,,,
2008 Totals,,,,,,,,,,,,,"$11,426.42 ",,"$137,117.00 ",,,,,,,,
2009 Totals,39.79%,,,,,,,,,,,,"$16,064.58 ",40.59%,"$192,775.00 ",,,,,,,,
2010 Totals,,,,,,,,,,,,,"$25,997.08 ",61.83%,"$311,965.00 ",,,,,,,,
2011 Totals,"$31,454.86 ","$17,363.07 ","$36,275.98 ","$18,214.92 ","$9,891.99 ","$52,962.60 ","$70,732.42 ","$70,482.71 ","$30,910.19 ","$45,635.75 ","$10,225.00 ","$29,020.00 ","$35,264.12 ",35.65%,"$423,169.49 ",,,,,,,,
2012 Totals,"$51,545.00 ","$30,709.50 ","$9,300.00 ","$51,240.00 ","$53,762.50 ","$74,445.00 ","$101,800.00 ","$69,150.00 ","$45,700.00 ","$52,008.00 ","$38,220.00","$25,468.75 ","$50,279.06 ",42.58%,"$603,348.75 ",,,,,,,,
2013 Totals,"$70,942.00 ","$31,962.00 ","$59,400.00 ","$86,950.00 ","$55,025.00 ","$76,750.00 ","$148,334.00 ","$68,242.00 ","$51,399.00 ","$62,282.00 ","$51,000.00 ","$66,633.00 ","$69,076.58 ",37.39%,"$828,919.00 ",,,,,,,,
2014 Totals,"$78,600.00 ","$75,058.00 ","$84,675.00 ","$110,091.00 ","$92,055.00 ","$77,375.00 ",,,,,,,"$86,309.00 ",35.91%,"$1,126,578.34 ",,,,,,,,
Avg. Revenue '11-'14,"$58,135.47 ","$38,773.14 ","$47,412.75 ","$66,623.98 ","$52,683.62 ","$70,383.15 ","$106,955.47 ","$69,291.57 ","$42,669.73 ","$53,308.58 ","$33,148.33 ","$40,373.92 ","$60,232.19 ",,"$722,786.31 ",,,,,,,,
% ? '14 v. Avg. '11-'14,35.20%,93.58%,78.59%,65.24%,74.73%,9.93%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,43.29%,,#REF!,,,,,,,,
Best Month '11-'13 yr. ,"$70,942.00 ","$31,962.00 ","$59,400.00 ","$86,950.00 ","$55,025.00 ","$76,750.00 ","$148,334.00 ","$70,482.71 ","$51,399.00 ","$62,282.00 ","$51,000.00 ","$66,633.00 ","$69,263.31 ",,"$900,423.02 ",,,,,,,,
% ? '14 v. previous best '11-'13,10.79%,134.84%,42.55%,26.61%,67.30%,0.81%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,24.95%,,-7.94%,,,,,,,,
 Avg. Revenue '12-'14,"$67,029.00 ","$45,909.83 ","$51,125.00 ","$82,760.33 ","$66,947.50 ","$76,190.00 ","$125,067.00 ","$68,696.00 ","$48,549.50 ","$57,145.00 ","$44,610.00 ","$46,050.88 ","$65,006.67 ",,"$780,080.04 ",,,,,,,,
% ? '14 v. '12-'14 Average,17.26%,63.49%,65.62%,33.02%,37.50%,1.56%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,32.77%,,6.26%,,,,,,,,
Gross ? '13 to '14,"$7,658.00 ","$43,096.00 ","$25,275.00 ","$23,141.00 ","$37,030.00 ",$625.00 ,"($148,334.00)","($68,242.00)","($51,399.00)","($62,282.00)","($51,000.00)","($66,633.00)","$27,240.00 ",,"$326,880.00 ",,,,,,,,
% ?  '13 to '14,10.79%,134.84%,42.55%,26.61%,67.30%,0.81%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,-100.00%,44.76%,,54.18%,,,,,,,,
Projections RE: 2014,January ,February ,March ,April ,May ,June ,July ,August ,September ,October,November ,December,Monthly Avg,%?'14 v 13,Totals,,,,,,,,
Worst Remaining M. (WRM) '12+,"$78,600.00 ","$75,058.00 ","$84,675.00 ","$110,091.00 ","$92,055.00 ","$74,445.00 ","$101,800.00 ","$68,242.00 ","$45,700.00 ","$52,008.00 ","$38,220.00 ","$25,468.75 ","$70,530.23 ",2.10%,"$846,362.75 ",,,,,,,,
Proj.WRMonths_incQ4 +17%,"$78,600.00 ","$75,058.00 ","$84,675.00 ","$110,091.00 ","$92,055.00 ","$87,100.65 ","$119,106.00 ","$79,843.14 ","$53,469.00 ","$60,849.36 ","$44,717.40 ","$29,798.44 ","$76,280.25 ",10.43%,"$915,362.99 ",,,,,,,,
Proj./w_last +15%,"$78,600.00 ","$75,058.00 ","$84,675.00 ","$110,091.00 ","$92,055.00 ","$88,262.50 ","$170,584.10 ","$78,478.30 ","$59,108.85 ","$71,624.30 ","$58,650.00 ","$76,627.95 ","$86,984.58 ",25.92%,"$1,043,815.00 ",,,,,,,,
